"","Date","State1_Deaths","State1_Confirmed","State2_Deaths","State2_Confirmed","State3_Deaths","State3_Confirmed","State4_Deaths","State4_Confirmed","State5_Deaths","State5_Confirmed","State7_Deaths","State7_Confirmed","State8_Deaths","State8_Confirmed","State10_Deaths","State10_Confirmed","State12_Deaths","State12_Confirmed","State13_Deaths","State13_Confirmed","State14_Deaths","State14_Confirmed","State15_Deaths","State15_Confirmed","State16_Deaths","State16_Confirmed","State17_Deaths","State17_Confirmed","State18_Deaths","State18_Confirmed","State19_Deaths","State19_Confirmed","State20_Deaths","State20_Confirmed","State21_Deaths","State21_Confirmed","State22_Deaths","State22_Confirmed","State23_Deaths","State23_Confirmed","State24_Deaths","State24_Confirmed","State25_Deaths","State25_Confirmed","State26_Deaths","State26_Confirmed","State27_Deaths","State27_Confirmed","State28_Deaths","State28_Confirmed","State29_Deaths","State29_Confirmed","State30_Deaths","State30_Confirmed","State31_Deaths","State31_Confirmed","State32_Deaths","State32_Confirmed","State33_Deaths","State33_Confirmed","State34_Deaths","State34_Confirmed","State36_Deaths","State36_Confirmed","State37_Deaths","State37_Confirmed","State39_Deaths","State39_Confirmed","State40_Deaths","State40_Confirmed","State41_Deaths","State41_Confirmed","total_cases","total_deaths","State1_Severity","State2_Severity","State3_Severity","State4_Severity","State5_Severity","State7_Severity","State8_Severity","State10_Severity","State12_Severity","State13_Severity","State14_Severity","State15_Severity","State16_Severity","State17_Severity","State18_Severity","State19_Severity","State20_Severity","State21_Severity","State22_Severity","State23_Severity","State24_Severity","State25_Severity","State26_Severity","State27_Severity","State28_Severity","State29_Severity","State30_Severity","State31_Severity","State32_Severity","State33_Severity","State34_Severity","State36_Severity","State37_Severity","State39_Severity","State40_Severity","State41_Severity","Total_severity","total_strains","alpha_strains","beta_strains","gamma_strains","delta_strains"
"452","2021-04-25",1,45,37,11698,0,116,14,2236,77,12359,3,711,218,16731,0,237,357,24103,17,1540,152,14097,60,10491,24,2073,15,2030,110,5152,208,29438,25,26685,1,148,0,157,104,12918,676,67160,2,130,1,155,1,105,1,114,8,6647,9,899,92,5663,74,15355,0,121,80,14842,38,8126,0,100,222,37944,81,5084,59,14281,349691,2767,0.0222222222222222,0.00316293383484356,0,0.00626118067978533,0.00623027753054454,0.00421940928270042,0.0130297053373976,0,0.0148114342612953,0.011038961038961,0.0107824359792864,0.0057191878753217,0.0115774240231548,0.00738916256157635,0.0213509316770186,0.00706569739792105,0.000936855911560802,0.00675675675675676,0,0.00805078185477628,0.0100655151876117,0.0153846153846154,0.00645161290322581,0.00952380952380952,0.0087719298245614,0.001203550473898,0.0100111234705228,0.0162458061098358,0.00481927710843374,0,0.00539010914971028,0.00467634752645828,0,0.00585072738772929,0.0159323367427223,0.00413136334990547,0.00791270006948992,115,3,0,0,60
"453","2021-04-26",0,51,69,12634,2,61,14,1844,68,12795,2,749,199,12666,0,201,350,22933,24,2293,157,14296,64,10985,32,1363,21,2381,103,5903,143,34804,30,28469,2,120,0,164,92,13601,832,66191,2,140,2,208,0,22,3,180,7,6116,11,1008,76,6980,74,15809,1,148,82,15659,43,6551,0,98,206,35311,44,4368,57,15889,352991,2812,0,0.00546145322146589,0.0327868852459016,0.00759219088937093,0.00531457600625244,0.00267022696929239,0.0157113532291173,0,0.015261849736188,0.0104666375926734,0.010982092893117,0.00582612653618571,0.0234776228906823,0.00881982360352793,0.0174487548704049,0.00410872313527181,0.0010537777933893,0.0166666666666667,0,0.00676420851407985,0.0125696847003369,0.0142857142857143,0.00961538461538462,0,0.0166666666666667,0.00114453891432309,0.0109126984126984,0.0108882521489971,0.00468087798089696,0.00675675675675676,0.00523660514719969,0.00656388337658373,0,0.00583387612925151,0.0100732600732601,0.00358738750078671,0.00796620877019527,203,10,9,0,132
"454","2021-04-27",0,51,51,9881,0,168,15,3137,67,11801,5,821,226,15084,0,146,380,20201,38,2321,158,14340,75,11504,27,1692,25,2135,124,5541,201,29744,28,21890,0,145,0,121,88,12686,524,48700,5,146,1,130,0,103,0,55,9,6599,10,747,98,6276,84,16438,2,23,94,15684,52,10122,0,111,249,33551,67,5058,68,15992,323144,2771,0,0.0051614209088149,0,0.00478163850812879,0.00567748495890179,0.00609013398294762,0.0149827631927871,0,0.0188109499529726,0.016372253339078,0.0110181311018131,0.00651947148817802,0.0159574468085106,0.0117096018735363,0.0223786320158816,0.00675766541151157,0.00127912288716309,0,0,0.00693678070313732,0.0107597535934292,0.0342465753424658,0.00769230769230769,0,0,0.00136384300651614,0.0133868808567604,0.0156150414276609,0.00511011071906558,0.0869565217391304,0.00599336903851058,0.00513732463939933,0,0.00742153736103246,0.0132463424278371,0.00425212606303152,0.00857512440274305,132,15,0,0,90
"455","2021-04-28",0,48,64,11434,0,123,18,3132,85,12604,6,837,246,14893,0,186,381,24149,31,2110,170,14352,84,11931,24,2157,25,3164,131,6126,180,31830,32,32819,1,140,0,154,98,13417,895,66358,3,175,4,147,0,229,1,207,10,6073,13,1021,100,5916,121,16089,2,97,77,15830,56,8061,2,124,264,32921,96,5703,73,16403,360960,3293,0,0.00559734126290012,0,0.00574712643678161,0.00674389082830847,0.00716845878136201,0.0165178271671255,0,0.0157770508095573,0.0146919431279621,0.0118450390189521,0.00704048277596178,0.0111265646731572,0.00790139064475348,0.0213842637936663,0.0056550424128181,0.000975044943477863,0.00714285714285714,0,0.00730416635611538,0.01348744687905,0.0171428571428571,0.0272108843537415,0,0.00483091787439614,0.00164663263625885,0.0127326150832517,0.0169033130493577,0.00752066629374106,0.0206185567010309,0.00486418193303853,0.00694702890460241,0.0161290322580645,0.00801919747273777,0.0168332456601789,0.00445040541364385,0.0091228945035461,80,1,0,0,59
"456","2021-04-29",1,52,71,14669,0,164,22,3045,84,13374,11,772,279,15563,0,155,368,25986,24,3101,174,14120,95,12444,33,2539,30,3023,149,8075,229,39047,41,35013,0,116,0,103,105,12758,1035,63309,2,259,2,159,0,138,1,124,10,8386,10,1258,142,6904,120,16613,1,151,98,16665,58,7994,0,166,265,29751,108,6054,77,17207,379257,3645,0.0192307692307692,0.00484013906878451,0,0.00722495894909688,0.00628084342754599,0.0142487046632124,0.0179271348711688,0,0.0141614715616101,0.00773943889068043,0.0123229461756374,0.0076342012214722,0.0129972430090587,0.00992391663910023,0.0184520123839009,0.00586472712372269,0.00117099363093708,0,0,0.008230130114438,0.0163483864853338,0.00772200772200772,0.0125786163522013,0,0.00806451612903226,0.00119246362985929,0.00794912559618442,0.0205677867902665,0.00722325889363751,0.00662251655629139,0.00588058805880588,0.00725544158118589,0,0.00890726362139088,0.0178394449950446,0.00447492299645493,0.00961089709616434,112,5,6,0,65
"457","2021-04-30",0,59,57,14792,1,194,26,3079,89,13089,8,801,251,15804,0,267,395,24235,36,3019,180,14327,97,13947,40,3040,26,3474,145,5961,270,35024,48,38607,1,108,3,158,95,12762,771,66159,5,314,2,187,1,139,0,181,12,6998,12,1122,137,6724,158,17269,3,170,107,17897,53,7646,0,141,295,35104,85,6251,89,17403,386452,3498,0,0.00385343428880476,0.00515463917525773,0.00844430009743423,0.00679960271984109,0.00998751560549313,0.0158820551759048,0,0.0162987414895812,0.0119244783040742,0.012563690933203,0.00695490069549007,0.0131578947368421,0.00748416810592976,0.0243247777218587,0.0077089995431704,0.0012432978475406,0.00925925925925926,0.0189873417721519,0.00744397429869926,0.011653743254886,0.0159235668789809,0.0106951871657754,0.00719424460431655,0,0.00171477565018577,0.0106951871657754,0.0203747769185009,0.00914934275290984,0.0176470588235294,0.00597865564061016,0.00693172900863196,0,0.00840360072926162,0.0135978243481043,0.00511406079411596,0.00905157690993966,51,0,1,0,42
"458","2021-05-01",0,74,64,17354,0,163,26,3197,80,15853,13,724,269,14994,0,170,375,27047,22,3024,173,14605,98,13833,37,2358,30,3532,120,5961,217,48296,49,37199,3,103,0,105,97,12400,828,62919,5,271,2,229,1,1,4,226,14,8681,12,1195,113,6063,155,17155,1,205,113,18692,51,7754,1,173,332,34372,122,5654,96,17411,401993,3523,0,0.00368791056816872,0,0.00813262433531436,0.00504636346432852,0.0179558011049724,0.0179405095371482,0,0.0138647539468333,0.00727513227513227,0.0118452584731256,0.00708450806043519,0.0156912637828668,0.00849377123442809,0.0201308505284348,0.0044931257246977,0.00131723971074491,0.029126213592233,0,0.00782258064516129,0.0131597768559577,0.018450184501845,0.00873362445414847,1,0.0176991150442478,0.00161271742886764,0.0100418410041841,0.0186376381329375,0.00903526668609735,0.0048780487804878,0.00604536700192596,0.00657725045137993,0.00578034682080925,0.00965902478761783,0.0215776441457375,0.0055137556717018,0.00876383419611784,79,7,1,0,46
"459","2021-05-02",1,97,61,19412,0,217,23,3453,82,13789,11,799,229,15902,0,208,412,25219,54,2303,172,13847,125,13588,28,2751,47,3832,169,6323,271,40990,48,35636,1,117,0,156,102,12379,802,63282,5,319,3,262,0,279,3,158,11,10413,12,1379,138,7017,160,17652,1,259,147,19588,0,0,1,247,304,30180,107,5493,103,17512,385058,3633,0.0103092783505155,0.00314238615289512,0,0.00666087460179554,0.00594676916382624,0.0137672090112641,0.0144007043139228,0,0.0163368888536421,0.0234476769431177,0.0124214631328086,0.00919929349425964,0.0101781170483461,0.0122651356993737,0.0267278190732247,0.00661136862649427,0.00134695251992367,0.00854700854700855,0,0.00823976088537039,0.0126734300432983,0.0156739811912226,0.0114503816793893,0,0.0189873417721519,0.0010563718428887,0.00870195794053662,0.0196665241556221,0.00906412871062769,0.00386100386100386,0.00750459464978558,0,0.00404858299595142,0.0100728959575878,0.0194793373384307,0.00588168113293741,0.00943494226843748,36,0,0,0,33
"460","2021-05-03",1,38,83,23920,0,102,30,2385,97,13534,7,860,199,11825,0,159,407,20394,52,2030,153,12978,145,13322,44,2453,40,3571,115,4738,217,37733,49,31959,1,140,0,87,94,12662,669,56647,5,256,5,321,1,59,2,216,14,8015,16,1360,157,7280,159,18298,1,230,153,20768,0,0,1,134,288,30857,71,5606,92,17515,362452,3368,0.0263157894736842,0.00346989966555184,0,0.0125786163522013,0.00716713462391015,0.00813953488372093,0.0168287526427061,0,0.0199568500539374,0.025615763546798,0.0117891816920943,0.0108842516138718,0.0179372197309417,0.0112013441612994,0.0242718446601942,0.00575093419553176,0.00153321443098971,0.00714285714285714,0,0.00742378771126204,0.0118099811110915,0.01953125,0.0155763239875389,0.0169491525423729,0.00925925925925926,0.00174672489082969,0.0117647058823529,0.0215659340659341,0.00868947425948191,0.00434782608695652,0.0073671032357473,0,0.00746268656716418,0.00933337654340992,0.0126650017838031,0.00525264059377676,0.00929226490680145,73,2,1,0,61
"461","2021-05-04",1,66,71,18972,0,220,29,4489,82,11407,11,890,266,15274,0,137,448,18043,46,2703,140,12820,140,12885,43,2630,51,3733,129,6899,239,44438,45,26011,3,89,2,70,93,12062,567,48621,7,362,6,246,1,198,6,101,5,8914,15,799,155,6772,154,17296,1,27,122,20952,0,0,1,271,285,29052,128,5403,98,17501,350353,3390,0.0151515151515152,0.00374235715791693,0,0.00646023613276899,0.00718856842289822,0.0123595505617978,0.0174152153987168,0,0.0248295737959319,0.0170181280059193,0.0109204368174727,0.0108653473030656,0.0163498098859316,0.013661934101259,0.0186983620814611,0.00537827985057833,0.00173003729191496,0.0337078651685393,0.0285714285714286,0.00771016415188194,0.0116616276917381,0.0193370165745856,0.024390243902439,0.00505050505050505,0.0594059405940594,0.000560915413955575,0.0187734668335419,0.0228883638511518,0.00890379278445883,0.037037037037037,0.00582283314242077,0,0.003690036900369,0.00980999586947542,0.0236905422913196,0.00559968001828467,0.00967595539356021,49,1,0,0,37
"462","2021-05-05",0,31,82,20034,0,234,41,4475,105,14794,11,780,210,15785,0,166,338,19953,52,2814,131,13050,153,15786,48,3824,37,4650,132,5974,288,44631,57,37190,3,245,0,169,98,12236,891,51880,2,433,0,339,0,238,3,266,15,8216,17,1138,173,7514,154,16974,1,230,144,21228,0,0,0,240,351,25770,85,7028,107,17639,375954,3729,0,0.00409304182889089,0,0.00916201117318436,0.00709747194808706,0.0141025641025641,0.0133037694013304,0,0.0169398085500927,0.0184790334044065,0.0100383141762452,0.0096921322690992,0.0125523012552301,0.00795698924731183,0.0220957482423837,0.00645291389393023,0.00153267007260016,0.0122448979591837,0,0.0080091533180778,0.0171742482652274,0.0046189376443418,0,0,0.0112781954887218,0.00182570593962999,0.0149384885764499,0.0230236891136545,0.0090726994226464,0.00434782608695652,0.00678349349915206,0,0,0.0136204889406286,0.0120944792259533,0.00606610352060774,0.00991876665762301,125,3,0,0,101
"463","2021-05-06",1,42,85,22204,0,220,55,4826,61,14836,14,817,253,15157,0,151,311,20960,71,3496,133,12955,181,15416,32,3842,52,4716,141,5770,346,50112,58,41953,0,251,1,127,71,12319,920,57640,10,397,6,269,0,170,0,287,16,9889,18,1819,180,7953,155,16815,4,221,167,23310,0,0,3,300,353,31111,127,7783,103,18102,406236,3928,0.0238095238095238,0.00382813907404071,0,0.0113966017405719,0.00411162038285252,0.0171358629130967,0.0166919575113809,0,0.014837786259542,0.0203089244851259,0.0102663064453879,0.0117410482615464,0.00832899531494014,0.0110262934690416,0.0244367417677643,0.00690453384418902,0.00138249946368555,0,0.0078740157480315,0.00576345482587872,0.0159611380985427,0.0251889168765743,0.0223048327137546,0,0,0.00161795934877136,0.00989554700384827,0.02263296869106,0.00921796015462385,0.0180995475113122,0.00716430716430716,0,0.01,0.0113464690945325,0.0163176153154311,0.00568997900784444,0.00966925629437076,48,0,0,0,39
