New tests per thousand,Entity,16-04-2020
0.021,India,16-04-2020
0.007,Indonesia,16-04-2020
0.133,Iran,16-04-2020
1.477,Israel,16-04-2020
0.233,Kazakhstan,16-04-2020
0.074,Malaysia,16-04-2020
0.013,Nepal,16-04-2020
0.026,Pakistan,16-04-2020
0.021,Philippines,16-04-2020
0.424,Saudi Arabia,09-05-2020
0.15,South Korea,16-04-2020
0.038,Taiwan,16-04-2020
0.035,Taiwan,"Apr 17, 2020"
0.014,Thailand,16-04-2020
0.033,Vietnam,16-04-2020
