,Unnamed: 0,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
33,33,1309395188473901056,"'It's like being in a sci-fi nightmare film': Whole Foods employees say Amazon workers are crowding stores, ignorin… https://t.co/PmShxD1vtc",2020-09-25,B001E4KFG0,1,1,,1
34,34,1309394793265422341,"Upto 80% Off On Pantry Products...

 Min 40% Off On Grocery &amp; Gourmet : 
 https://t.co/UlalyTbQr5

 Min 40% Off On… https://t.co/mdf2TlloFC",2020-09-25,B001E4KFG0,1,1,,0
35,35,1309394658598875136,"RT @muscle_gyoza: ～マッスルギョーザでタンパク質！～

餃子8個でプロテイン１回分！17.6g！

タンパク質1.5倍！
カロリー/糖質50％OFF
脂質88％OFF

8個食べても168kcal、糖質11.2g

美味しく手軽に続けよう！

弊社通販サイト、…",2020-09-25,B001E4KFG0,1,1,,0
36,36,1309394611295535104,@nytimesbusiness Whole Foods is owned by Amazon. Boycott Whole Foods,2020-09-25,B001E4KFG0,1,1,,1
37,37,1309393697960652800,"RT @anilpundir1988: Exclusive Offer Click here :-- https://t.co/mSDCqChrLz
grocries at Amazon - Upto 40% off on Grocery Items. #instagram #…",2020-09-25,B001E4KFG0,0,1,,0
38,38,1309393681720528897,RT @ourcupofkhafi: Thank you Amazon foods. I can go to Dorathy's house to eat when I go broke from spending all my money to vote this week…,2020-09-25,B001E4KFG0,0,1,,0
39,39,1309393661927579648,RT @ourcupofkhafi: Thank you Amazon foods. I can go to Dorathy's house to eat when I go broke from spending all my money to vote this week…,2020-09-25,B001E4KFG0,0,1,,0
40,40,1309393504406249472,"'It's like being in a sci-fi nightmare film': Whole Foods employees say Amazon workers are crowding stores, ignorin… https://t.co/dIA7r1FEvS",2020-09-25,B001E4KFG0,1,1,,1
41,41,1309393279117651970,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
42,42,1309392284639784960,RT @ourcupofkhafi: Thank you Amazon foods. I can go to Dorathy's house to eat when I go broke from spending all my money to vote this week…,2020-09-25,B001E4KFG0,0,1,,0
43,43,1309390997256916992,RT @chcampo: Wow!! Notición!! #Amazon compra los supermercados #WholeFoods!! https://t.co/bizCqvLq7r,2020-09-25,B001E4KFG0,0,1,,1
44,44,1309389242397634561,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
45,45,1309388540891914240,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
46,46,1309387409285697536,Whole Foods CEO saying all that like I didn't spend $50 on some tortilla chips a pizza and an energy drink once...a… https://t.co/WSfnJZXd2g,2020-09-25,B001E4KFG0,1,1,,1
47,47,1309387053239476225,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
48,48,1309387049569456128,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
49,49,1309385655735250946,"Get fucked. 
Don't say shit about the world getting fat when your stuff a) belongs to Amazon, b) is priced out the… https://t.co/mnpIK9M8Nu",2020-09-25,B001E4KFG0,0,1,,-1
50,50,1309385500097236992,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
51,51,1309384027183419393,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
52,52,1309383758286647297,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
53,53,1309382420987367425,"RT @wardeerent: I worked at Whole Foods for a year and a half and had to leave due to severe anxiety and depression...so bad, I can't even…",2020-09-25,B001E4KFG0,1,1,,-1
54,54,1309382253684940800,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
55,55,1309381455936516096,"How has Amazon changed Whole Foods during the past few years? ""tech savvy, data driven""
https://t.co/MStFAscomI",2020-09-25,B001E4KFG0,1,1,,-1
56,56,1309381308347449344,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
57,57,1309380352863993856,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
58,58,1309379889326366720,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
59,59,1309379664985690112,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
60,60,1309379155184635909,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
61,61,1309378651624857600,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
62,62,1309377553262473222,"“Since Covid struck, our online sales have tripled. Could we have done that prior to Amazon? No way.”

Whole Foods… https://t.co/5Oa3jxSQgR",2020-09-25,B001E4KFG0,0,1,,1
63,63,1309376000271306752,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
64,64,1309375645911195648,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
65,65,1309374124007911424,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
66,66,1309373463753261056,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
67,67,1309373042036965376,Te amo @Amazon que hayas comprado Whole Foods Market. 😭🤩,2020-09-25,B001E4KFG0,1,1,,0
68,68,1309372953276985344,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
69,69,1309371700002394116,"RT @wardeerent: I worked at Whole Foods for a year and a half and had to leave due to severe anxiety and depression...so bad, I can't even…",2020-09-25,B001E4KFG0,1,1,,-1
70,70,1309371604133187584,"I worked at Whole Foods for a year and a half and had to leave due to severe anxiety and depression...so bad, I can… https://t.co/OLCoU7QZ2J",2020-09-25,B001E4KFG0,1,1,,-1
71,71,1309371065530015746,"@fOrGiVeNcHy Whole Foods is trash. I worked there for a year and a half. The irony is you have ""access to healthy f… https://t.co/62Xx5TKgQU",2020-09-25,B001E4KFG0,1,1,,1
72,72,1309371013839368192,the owner of whole foods really did just blame quarantine weight gain on ignorance LMao ouch! first amazon and now… https://t.co/G2proSGuR3,2020-09-25,B001E4KFG0,1,1,,1
73,73,1309370410086039552,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
74,74,1309369593706684416,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
