id,A,B,C,D,E,F,G,H,I,J,K
15128,120,80,80,80,90,90,80,90,80,80,90
15129,120,90,80,90,100,90,80,100,80,80,90
15130,120,90,80,80,100,90,80,90,90,90,90
15131,110,80,80,80,90,80,80,90,90,90,90
15132,110,80,80,80,100,80,90,90,90,90,90
15133,100,70,70,70,80,90,90,80,80,80,90
15134,100,70,70,70,80,90,90,80,80,80,90
15135,100,70,60,60,70,90,80,80,80,80,90
15136,90,60,60,60,70,90,80,90,120,120,90
15137,90,60,60,70,70,90,80,100,120,120,90
15138,90,60,60,70,60,90,80,100,120,120,90
15139,110,70,70,80,80,80,80,100,120,120,90
15140,110,70,60,70,80,80,80,100,120,120,90
15141,100,70,60,70,80,80,80,100,120,120,90
15142,110,70,70,80,80,80,80,100,120,120,90
15143,100,70,60,70,80,80,80,100,130,130,90
15144,100,70,60,70,80,80,80,100,130,130,90
15145,110,70,70,80,90,70,80,80,130,130,80
15146,90,70,60,70,70,70,80,100,130,130,80
15147,90,60,60,70,70,70,80,100,130,130,80
15148,100,70,60,70,80,70,80,100,130,130,80
15149,80,60,60,60,70,70,80,100,130,130,90
15150,80,60,60,60,70,70,80,100,130,130,80
15151,90,70,60,70,80,60,80,50,50,50,60
15152,80,60,60,60,60,60,80,50,50,50,60
15153,70,60,60,60,60,70,80,50,50,50,60
15154,80,60,60,70,70,70,80,60,50,50,60
15155,70,60,60,60,60,70,80,50,50,50,50
15156,70,60,60,60,60,70,80,40,50,50,50
15157,80,60,60,60,70,60,80,40,50,50,60
15158,70,60,60,60,70,60,80,50,50,50,60
15159,70,60,60,60,70,60,80,50,50,50,60
15160,80,70,60,60,70,60,80,50,50,50,60
15161,70,60,60,60,70,60,80,50,50,50,50
15162,70,60,60,60,70,60,80,40,50,50,50
15163,60,60,60,50,60,40,30,50,50,50,50
15164,70,60,60,50,70,40,30,50,50,50,60
15165,60,70,60,50,70,40,30,50,50,50,60
15166,70,50,60,50,60,40,30,50,50,50,50
15167,70,50,50,50,60,40,30,50,50,50,50
15168,80,50,50,50,60,40,30,60,50,50,50
15169,60,50,60,50,60,40,30,50,50,50,50
15170,80,50,50,50,60,40,30,50,50,50,50
15171,80,50,50,50,50,40,30,50,50,50,50
15172,80,50,50,50,50,40,30,60,50,50,50
15173,80,50,50,50,50,40,30,50,50,50,50
15174,80,50,50,50,50,40,30,50,50,50,50
15175,70,50,50,50,50,40,40,50,50,50,50
15176,60,50,50,50,50,40,40,50,50,50,50
15177,60,50,50,50,50,40,40,50,50,50,50
15178,60,50,50,50,50,40,40,60,50,50,50
15179,60,50,50,50,50,40,40,60,50,50,50
15180,60,50,50,50,50,40,40,60,50,50,50
15181,50,50,50,50,50,40,40,60,50,50,50
15182,50,50,50,50,50,40,40,50,50,50,50
15183,50,50,50,50,50,40,40,60,50,50,50
15184,50,50,50,50,50,40,40,50,50,50,50
15185,50,50,50,50,50,40,40,50,60,60,50
15186,60,50,50,50,50,40,40,50,50,50,50
15187,60,50,50,50,50,40,40,60,50,50,50
15188,50,50,50,50,50,40,40,50,50,50,50
15189,60,50,50,50,50,40,40,50,50,50,50
15190,60,50,50,50,50,40,40,50,50,50,50
15191,60,50,50,40,50,40,40,50,50,50,50
15192,60,50,50,40,50,40,40,50,50,50,50
15193,60,50,50,40,50,40,50,50,50,50,50
